,AD,ADOSC,APO,AROONDOWN,AROONOSC,AROONUP,BANDSLOWER,BANDSMID,BANDSUPPER,BOP,CCI,CLOSE,CMO,ClassificationMinMax,ClassificationTrend,ClassificationTrendValleyBuy,DEMA,EMA,FAMA,HIGH,HTTREND,KAMA,LOW,MA,MACD,MACDHist,MACDSignal,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DM,MOM,OBV,OPEN,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,SAR,SAREXT,SMA,STOCHFastK,STOCHRSIFastD,STOCHRSIFastK,T3,TEMA,TRIMA,TRIX,VOLUME,WILLR,WMA
448,11309286.451559987,-1532304.6300582904,0.8097435897436114,42.85714285714286,-57.142857142857146,100.0,32.23949651810799,35.3628,38.48610348189201,-0.7983193277310964,-113.50013451708377,33.15,-18.05114802070374,-1,1,1,36.48581864392905,34.97141625707628,35.23303923876616,34.29,35.91793790849673,34.81468146575451,33.1,35.112000000000016,0.4285263794539347,-0.42519130474928857,0.8537176842032232,36.15483818553516,36.48611311418017,35.58,36.525000000000006,5.280642387127298,-0.9299999999999997,13690000.0,34.1,4.75300984668436,2.2931166563193828,-2.7288732394366244,-0.02728873239436619,0.9727112676056338,97.27112676056338,40.97442598964813,39.839200000000005,-39.839200000000005,35.112000000000016,0.9310986964617725,-4.263256414560601e-14,0.0,36.03194440037703,36.36299319634553,35.271999999999785,0.3561128897732413,1655700.0,-99.27007299270076,35.59713978494598
449,10221783.022988558,-1985033.076939758,0.7088461538461672,35.714285714285715,-64.28571428571429,100.0,32.041406368926616,35.3104,38.57939363107339,-0.39428571428571296,-125.9411161564375,32.46,-22.910088655248074,0,1,1,36.07451489904452,34.80938940178103,35.001634202266516,33.85,35.81186764705882,34.79231380709768,32.1,35.07333333333335,0.14591080795269562,-0.5662455010004221,0.7121563089531178,34.30741909276758,34.61595342943974,35.235,36.025000000000006,5.903453645189633,-4.939999999999998,11842300.0,33.15,4.4135091433497635,2.010845253292346,-13.208556149732619,-0.13208556149732614,0.8679144385026738,86.79144385026738,38.54495567237596,39.569632000000006,-39.569632000000006,35.07333333333335,5.651491365777073,-4.263256414560601e-14,0.0,35.096832629981094,35.72641916426996,35.360416666666445,0.34964608676861797,1847700.0,-95.41401273885351,35.42604301075243
450,10981814.272988565,-1747954.491396742,0.6525000000000105,28.571428571428573,-71.42857142857143,100.0,32.038443727365184,35.3096,38.58075627263482,-0.11718749999999879,-109.07068819787345,33.09,-16.139081861656067,0,1,1,35.77819386986236,34.69846105327903,34.675903038295836,33.29,35.69179044117647,34.78014426701571,32.01,35.04933333333335,-0.026918039325515508,-0.5912594786229066,0.5643414392973911,33.698709546383796,31.35548451855173,35.235,35.980000000000004,5.571778384818948,-4.849999999999994,12947800.0,33.24,4.098258490253352,1.8523775727466576,-12.783342119135465,-0.12783342119135463,0.8721665788086453,87.21665788086453,41.93045906917197,39.12145408000001,-39.12145408000001,35.04933333333335,31.03448275862081,11.427797604484317,34.28339281345308,34.254071495657456,35.27912406185633,35.43537499999978,0.34099399992564283,1105500.0,-86.39798488664981,35.29808602150512
451,10637180.93965523,-1601718.9041536823,0.3098076923077073,21.42857142857143,-71.42857142857143,92.85714285714286,32.083267869321105,35.32240000000001,38.56153213067891,-0.21153846153846564,-72.94500042767899,33.44,-12.433357804769205,1,1,1,35.55138974809166,34.617270017583614,34.63437608608191,34.48,35.58887990196078,34.77442051989712,32.92,35.05033333333335,-0.13409826965089167,-0.5587517671586262,0.4246534975077345,33.67719491420878,34.92151796908175,35.235,35.980000000000004,5.1737942144747375,-4.410000000000004,13981700.0,33.77,4.995525740949539,0.8791940448383927,-11.651254953764866,-0.11651254953764871,0.8834874504623513,88.34874504623514,43.7833210976154,38.55253775360001,-38.55253775360001,35.05033333333335,41.69096209912536,34.28358112488309,68.56735056119632,33.64629952671032,34.94829929878976,35.49841666666645,0.33088246347003913,1033900.0,-81.98992443324939,35.19425806451587
452,10795486.822008174,-1345914.391882524,-0.0707692307692156,14.285714285714286,-71.42857142857143,85.71428571428572,32.155926707670226,35.3432,38.53047329232978,-0.2941176470588193,-74.75205916960844,33.59,-10.801626216307488,0,1,1,35.362848826758125,34.55099453257822,34.610337563142316,34.04,35.50887916666667,34.765180821728194,32.85,35.02300000000002,-0.20457738720323704,-0.5033847077687772,0.29880732056554016,33.672835168498345,35.69706117297374,35.235,35.980000000000004,4.8742374848694,-3.739999999999995,14631300.0,33.94,4.638702473738857,-0.20073092238036377,-10.01875167425662,-0.10018751674256617,0.8998124832574338,89.98124832574338,44.59918689184625,38.029134733312006,-38.029134733312006,35.02300000000002,63.96761133603263,67.61691445821641,100.0,33.290032741850155,34.68429009503972,35.55083333333312,0.31975143639098036,649600.0,-80.10075566750623,35.10004301075244
453,9914440.85927525,-1399244.04392457,-0.5058974358974169,7.142857142857143,-71.42857142857143,78.57142857142857,31.838944927896904,35.24360000000001,38.64825507210311,-0.720496894409936,-89.23965284741172,32.25,-21.729813548475978,-1,1,1,35.02314611068263,34.40254327241188,34.585121459315594,33.7,35.4174,34.73239957033674,32.09,34.96333333333335,-0.3643592897048933,-0.5305332882163467,0.16617399851145345,33.60169341007342,23.75134334809519,35.129999999999995,35.980000000000004,5.286077664521583,-4.990000000000002,13531700.0,33.41,4.307366582757511,-1.436219968043505,-13.39957035445758,-0.13399570354457577,0.8660042964554242,86.60042964554242,39.13509322576201,37.547603954647045,-37.547603954647045,34.96333333333335,9.716599190283485,59.43829103728036,9.747522550644902,32.97209547020873,34.20945270935361,35.59566666666645,0.30673142970747413,1099600.0,-96.97732997481106,34.92113978494598
454,9232144.742770402,-1510950.9346547145,-0.8339102564102348,0.0,-71.42857142857143,71.42857142857143,31.50808346448446,35.092800000000004,38.67751653551555,-0.18446601941747331,-87.54048854143835,32.24,-21.806804562716557,0,-1,0,34.713070596986256,34.263024351611115,34.55883364132195,33.07,35.22506666666667,34.70361460500465,32.04,34.91233333333335,-0.4861900191326356,-0.5218912141152712,0.03570119498263563,33.53360873956975,11.382976145676455,35.125,35.239999999999995,4.958500688484332,-4.339999999999996,12416200.0,32.43,3.999697541131974,-2.3739137734078692,-11.864406779661007,-0.11864406779661008,0.8813559322033899,88.13559322033899,39.096597718641725,37.10459563827528,-37.10459563827528,34.91233333333335,9.311740890688425,36.582507516881584,0.0,32.6736922136493,33.79232060238903,35.618833333333114,0.292255198411584,1115500.0,-96.43962848297208,34.7454408602148
455,9933803.75916384,-1196034.8906777967,-1.0867307692307406,28.571428571428573,-71.42857142857143,100.0,31.27283547318063,34.955600000000004,38.63836452681938,0.4672131147540932,-82.66379077918546,32.66,-16.61827541418732,0,-1,0,34.48386582132904,34.15960342570072,34.53211100785368,32.75,34.951266666666676,34.69140606882663,31.53,34.89733333333335,-0.5425965448195242,-0.4626381918417279,-0.07995835297779634,33.48992830259126,11.546941444083332,35.125,35.0,5.114322067878306,-5.350000000000001,13239300.0,32.09,3.7140048596225474,-3.1050132969954554,-14.075243357011313,-0.14075243357011316,0.8592475664298869,85.92475664298868,41.69086229290634,36.697027987213254,-36.697027987213254,34.89733333333335,38.30508474576261,18.96459161465914,47.14625229333266,32.46867993150224,33.50485028952332,35.60487499999978,0.27705052867674773,823100.0,-83.71757925072052,34.60012903225781
456,10258761.823679963,-855079.4075523093,-1.259038461538431,21.42857142857143,-71.42857142857143,92.85714285714286,31.12450953710622,34.870400000000004,38.61629046289379,0.4408602150537599,-49.121739130434555,33.16,-10.5794492167276,0,1,1,34.33812525981703,34.09511288210713,34.50564402984388,33.43,34.6396,34.684810635366645,32.5,34.898666666666685,-0.5407202154309658,-0.36860948996253556,-0.17211072546843026,33.47343188746169,15.527843666747549,35.125,35.0,4.749013348744142,-1.8400000000000034,14014200.0,32.75,4.128718798220937,-3.6089520974587055,-5.257142857142871,-0.05257142857142867,0.9474285714285713,94.74285714285713,44.7102753916362,36.18032518849193,-36.18032518849193,34.898666666666685,64.94023904382458,49.04875076444417,100.0,32.418099015766046,33.34626393910735,35.551249999999776,0.2617838993813404,774900.0,-76.51296829971187,34.48804301075243
457,9894673.216085024,-753709.5025491528,-1.5812820512820238,14.285714285714286,-71.42857142857143,85.71428571428572,30.99214297997855,34.796800000000005,38.60145702002146,0.02531645569619752,-32.15621911619358,33.16,-10.579449216727593,0,1,1,34.20567956442591,34.03478301874538,34.479446936425,33.73,34.3298,34.677961817364206,32.94,34.90166666666668,-0.5330881030561017,-0.2887819020701371,-0.24430620098596456,33.457760293088604,19.87355481510588,35.125,35.0,4.409798109548132,-1.3200000000000003,14014200.0,33.14,4.133810312633724,-4.543311379274698,-3.828306264501158,-0.03828306264501161,0.9617169373549884,96.17169373549885,44.7102753916362,35.715292669642736,-35.715292669642736,34.90166666666668,74.09090909090902,82.38208409777751,100.0,32.481119039483275,33.21034609896034,35.460541666666444,0.24658643243811174,821800.0,-76.51296829971187,34.375870967741676
